id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_balita,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,21322,ORANG,2020
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8838,ORANG,2020
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9069,ORANG,2020
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,13728,ORANG,2020
5,32,JAWA BARAT,3205,KABUPATEN GARUT,9128,ORANG,2020
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9275,ORANG,2020
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4810,ORANG,2020
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4265,ORANG,2020
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,15737,ORANG,2020
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4549,ORANG,2020
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5784,ORANG,2020
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5218,ORANG,2020
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,2977,ORANG,2020
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2648,ORANG,2020
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4647,ORANG,2020
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,6723,ORANG,2020
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6130,ORANG,2020
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,161,ORANG,2020
19,32,JAWA BARAT,3271,KOTA BOGOR,2915,ORANG,2020
20,32,JAWA BARAT,3272,KOTA SUKABUMI,1333,ORANG,2020
21,32,JAWA BARAT,3273,KOTA BANDUNG,7910,ORANG,2020
22,32,JAWA BARAT,3274,KOTA CIREBON,2149,ORANG,2020
23,32,JAWA BARAT,3275,KOTA BEKASI,8228,ORANG,2020
24,32,JAWA BARAT,3276,KOTA DEPOK,5948,ORANG,2020
25,32,JAWA BARAT,3277,KOTA CIMAHI,2491,ORANG,2020
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3738,ORANG,2020
27,32,JAWA BARAT,3279,KOTA BANJAR,1086,ORANG,2020
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,16821,ORANG,2021
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6099,ORANG,2021
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5788,ORANG,2021
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8809,ORANG,2021
32,32,JAWA BARAT,3205,KABUPATEN GARUT,313,ORANG,2021
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4572,ORANG,2021
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2368,ORANG,2021
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2461,ORANG,2021
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,13385,ORANG,2021
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3705,ORANG,2021
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2382,ORANG,2021
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5586,ORANG,2021
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,2736,ORANG,2021
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,922,ORANG,2021
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2914,ORANG,2021
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,15485,ORANG,2021
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5210,ORANG,2021
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,347,ORANG,2021
46,32,JAWA BARAT,3271,KOTA BOGOR,2990,ORANG,2021
47,32,JAWA BARAT,3272,KOTA SUKABUMI,621,ORANG,2021
48,32,JAWA BARAT,3273,KOTA BANDUNG,4996,ORANG,2021
49,32,JAWA BARAT,3274,KOTA CIREBON,2394,ORANG,2021
50,32,JAWA BARAT,3275,KOTA BEKASI,5662,ORANG,2021
51,32,JAWA BARAT,3276,KOTA DEPOK,2397,ORANG,2021
52,32,JAWA BARAT,3277,KOTA CIMAHI,1221,ORANG,2021
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3766,ORANG,2021
54,32,JAWA BARAT,3279,KOTA BANJAR,603,ORANG,2021
